------------------------------------------------------------------------------------------
  No  | MATRICULA | NOMBRE        | APELLIDO P.  |  APELLIDO MAT.     | EDAD  | SEXO 
  83.-  329310      ANTONIO         GONZALEZ        HERNANDEZ           39      HOMBRE 
  84.-  329345      PATRICIA        MENDOZA         FLORES              31      MUJER  
  85.-  329453      ALEJANDRO       SANCHEZ         SANDEZ              24      HOMBRE 
  86.-  330025      CARMEN          VARGAS          GARCIA              28      MUJER  
  87.-  330332      CARMEN          HARO            RODRIGUEZ           18      MUJER  
  88.-  330740      MANUEL          ROJAS           RUIZ                32      HOMBRE 
  89.-  330849      CARLOS          GONZALEZ        PEREZ               40      HOMBRE 
  90.-  331621      LUISA           RODRIGUEZ       SOLANO              35      MUJER  
  91.-  331814      MIGUEL          FLORES          HERNANDEZ           39      HOMBRE 
  92.-  331928      CARMEN          TORRES          SAAVEDRA            32      MUJER  
  93.-  331976      ANA             SOLANO          RAMIREZ             19      MUJER  
  94.-  332105      CARLOS          FERNANDEZ       RUIZ                35      HOMBRE 
  95.-  332129      ALEJANDRO       GUTIERREZ       RAMIREZ             32      HOMBRE 
  96.-  332273      MIGUEL          DIAZ            DIAZ                28      HOMBRE 
  97.-  332362      JOSE            SANDEZ          SOLANO              31      MUJER  
  98.-  332469      ISABEL          SOLANO          ORTEGA              21      MUJER  
